,Distance,Radius,X,Y,Z
200,19.006,2.943,231.797,203.296,209.889
201,19.070999999999998,2.951,231.831,203.31400000000002,209.96400000000003
202,19.141,2.963,231.855,203.33,210.03599999999997
203,19.214000000000002,2.9739999999999998,231.873,203.34799999999998,210.105
204,19.292,2.98,231.89,203.36599999999999,210.169
205,19.377,2.9760000000000004,231.91,203.388,210.22799999999998
206,19.469,2.9619999999999997,231.938,203.415,210.28
207,19.574,2.9419999999999997,231.976,203.447,210.325
208,19.695,2.9189999999999996,232.03099999999998,203.485,210.362
209,19.834,2.898,232.1,203.53,210.39
210,19.989,2.88,232.18200000000002,203.58,210.41
211,20.156,2.867,232.27200000000002,203.632,210.425
212,20.332,2.86,232.36700000000002,203.68599999999998,210.433
213,20.515,2.858,232.463,203.74,210.437
214,20.7,2.862,232.55599999999998,203.791,210.437
215,20.884,2.867,232.643,203.838,210.435
216,21.064,2.8680000000000003,232.72099999999998,203.88,210.43099999999998
217,21.234,2.862,232.785,203.91400000000002,210.425
218,21.393,2.847,232.833,203.93900000000002,210.42
219,21.54,2.826,232.865,203.956,210.416
220,21.673000000000002,2.806,232.88299999999998,203.96599999999998,210.412
221,21.795,2.792,232.89,203.97099999999998,210.41
222,21.905,2.7880000000000003,232.888,203.97099999999998,210.41
223,22.005,2.7910000000000004,232.88,203.96900000000002,210.41099999999997
224,22.096999999999998,2.801,232.86900000000003,203.967,210.416
225,22.186999999999998,2.8139999999999996,232.857,203.965,210.424
226,22.28,2.8289999999999997,232.84599999999998,203.965,210.435
227,22.384,2.842,232.84,203.96900000000002,210.45
228,22.506,2.853,232.84,203.979,210.46900000000002
229,22.645,2.858,232.84799999999998,203.99599999999998,210.493
230,22.799,2.8560000000000003,232.865,204.023,210.52200000000002
231,22.965,2.847,232.89,204.06099999999998,210.558
232,23.139,2.8339999999999996,232.925,204.114,210.59900000000002
233,23.316999999999997,2.82,232.97,204.183,210.64700000000002
234,23.498,2.805,233.025,204.271,210.702
235,23.682,2.79,233.092,204.38,210.764
236,23.87,2.7769999999999997,233.17,204.511,210.835
237,24.066999999999997,2.764,233.261,204.668,210.91400000000002
238,24.279,2.753,233.364,204.852,211.002
239,24.508000000000003,2.747,233.477,205.05700000000002,211.097
240,24.750999999999998,2.7539999999999996,233.59599999999998,205.27599999999998,211.196
241,25.003,2.78,233.718,205.50400000000002,211.297
242,25.256999999999998,2.83,233.83900000000003,205.733,211.39700000000002
243,25.506999999999998,2.9,233.955,205.957,211.49400000000003
244,25.744,2.9789999999999996,234.063,206.17,211.585
245,25.962,3.053,234.15900000000002,206.363,211.669
246,26.151999999999997,3.113,234.24099999999999,206.532,211.74099999999999
247,26.307,3.155,234.303,206.668,211.801
248,26.421999999999997,3.1839999999999997,234.345,206.769,211.847
249,26.499000000000002,3.205,234.36700000000002,206.838,211.88
250,26.546,3.2239999999999998,234.372,206.88,211.90400000000002
251,26.569000000000003,3.241,234.363,206.90200000000002,211.922
252,26.578000000000003,3.255,234.342,206.90900000000002,211.937
253,26.594,3.264,234.312,206.90900000000002,211.952
254,26.616999999999997,3.264,234.275,206.905,211.97
255,26.642,3.255,234.235,206.905,211.995
256,26.664,3.24,234.19299999999998,206.91299999999998,212.028
257,26.677,3.221,234.15200000000002,206.937,212.074
258,26.680999999999997,3.2,234.114,206.979,212.13299999999998
259,26.694000000000003,3.182,234.082,207.035,212.204
260,26.715999999999998,3.17,234.05599999999998,207.10299999999998,212.283
261,26.744,3.17,234.03799999999998,207.176,212.36700000000002
262,26.776,3.1860000000000004,234.02900000000002,207.252,212.454
263,26.811,3.219,234.032,207.325,212.541
264,26.845,3.258,234.047,207.392,212.62400000000002
265,26.877,3.292,234.077,207.44799999999998,212.702
266,26.905,3.3089999999999997,234.122,207.489,212.77
267,26.926,3.301,234.18400000000003,207.51,212.826
268,26.941999999999997,3.275,234.263,207.511,212.86900000000003
269,26.956999999999997,3.242,234.357,207.49400000000003,212.9
